Concessão;AE;Nome Sublanço;Sublanço Inicio;Sublanço Fim;Pk inicio (km);Pk Inicio (m);Pk fim (km);Pk fim (m);Centro Operacional;GO;GOA
BCR;Lig. PLLN;Castanheira do Ribatejo (A1) - PLLN;Castanheira do Ribatejo (A1) ; PLLN;0;0;1;300;Carregado;Rui Beja;Vitor Costa
BCR;A1;Sacavém - S. João da Talha;Sacavém ; S. João da Talha;1;100;4;950;Carregado;Rui Beja;Vitor Costa
BCR;A1;S. João da Talha - Sta Iria da Azóia;S. João da Talha ; Sta Iria da Azóia;4;950;7;890;Carregado;Rui Beja;Vitor Costa
BCR;A1;Sta Iria da Azóia - Alverca (A1/A9);Sta Iria da Azóia ; Alverca (A1/A9);7;890;14;150;Carregado;Rui Beja;Vitor Costa
BCR;A1;Alverca (A1/A9) - V. Franca de Xira II;Alverca (A1/A9) ; V. Franca de Xira II;14;150;21;600;Carregado;Rui Beja;Vitor Costa
BCR;A1;V. Franca de Xira II - V. Franca de Xira I;V. Franca de Xira II ; V. Franca de Xira I;21;600;25;70;Carregado;Rui Beja;Vitor Costa
BCR;A1;V. Franca de Xira I - Castanheira do Ribatejo;V. Franca de Xira I ; Castanheira do Ribatejo;25;70;28;970;Carregado;Rui Beja;Vitor Costa
BCR;A1;Castanheira do Ribatejo - A1/A10;Castanheira do Ribatejo ; A1/A10;28;970;30;200;Carregado;Rui Beja;Vitor Costa
BCR;A1;A1/A10 - Carregado;A1/A10 ; Carregado;30;200;31;20;Carregado;Rui Beja;Vitor Costa
BCR;A1;Carregado - Aveiras de Cima;Carregado ; Aveiras de Cima;31;20;46;580;Carregado;Rui Beja;Vitor Costa
BCR;A1;Aveiras de Cima - Cartaxo;Aveiras de Cima ; Cartaxo;46;580;57;870;Carregado;Rui Beja;Vitor Costa
BCR;A1;Cartaxo - Santarém;Cartaxo ; Santarém;57;870;65;870;Carregado;Rui Beja;Vitor Costa
BCR;A1;Santarém - A1/A15;Santarém ; A1/A15;65;870;67;140;Carregado;Rui Beja;Vitor Costa
BCR;A1;A1/A15 - Torres Novas (A1/A23);A1/A15 ; Torres Novas (A1/A23);67;140;94;150;Carregado;Rui Beja;Vitor Costa
BCR;A1;Torres Novas (A1/A23) - Fátima;Torres Novas (A1/A23) ; Fátima;94;150;114;470;Leiria;Pedro Tomás;Tiago Cancela
BCR;A1;Fátima - Leiria;Fátima ; Leiria;114;470;129;710;Leiria;Pedro Tomás;Tiago Cancela
BCR;A1;Leiria - Pombal;Leiria ; Pombal;129;710;153;770;Leiria;Pedro Tomás;Tiago Cancela
BCR;A1;Pombal - Soure;Pombal ; Soure;153;770;168;520;Leiria;Pedro Tomás;Tiago Cancela
BCR;A1;Soure - Condeixa;Soure ; Condeixa;168;520;181;550;Mealhada/Marinha;Nuno Prada;João Teixeira
BCR;A1;Condeixa - Coimbra Sul;Condeixa ; Coimbra Sul;181;550;189;230;Mealhada/Marinha;Nuno Prada;João Teixeira
BCR;A1;Coimbra Sul - Coimbra Norte (A1/A14);Coimbra Sul ; Coimbra Norte (A1/A14);189;230;197;540;Mealhada/Marinha;Nuno Prada;João Teixeira
BCR;A1;Coimbra Norte (A1/A14) - Mealhada;Coimbra Norte (A1/A14) ; Mealhada;197;540;209;240;Mealhada/Marinha;Nuno Prada;João Teixeira
BCR;A1;Mealhada - Aveiro Sul;Mealhada ; Aveiro Sul;209;240;232;880;Feira;Manuel Afecto;Pedro Ferreira
BCR;A1;Aveiro Sul - Albergaria (A1/A25);Aveiro Sul ; Albergaria (A1/A25);232;880;247;660;Feira;Manuel Afecto;Pedro Ferreira
BCR;A1;Albergaria (A1/A25) - Estarreja;Albergaria (A1/A25) ; Estarreja;247;660;258;90;Feira;Manuel Afecto;Pedro Ferreira
BCR;A1;Estarreja - Feira;Estarreja ; Feira;258;90;274;880;Feira;Manuel Afecto;Pedro Ferreira
BCR;A1;Feira - A1/A41;Feira ; A1/A41;274;880;284;700;Feira;Manuel Afecto;Pedro Ferreira
BCR;A1;A1/A41 - Feiteira;A1/A41 ; Feiteira;284;700;288;630;Feira;Manuel Afecto;Pedro Ferreira
BCR;A1;Feiteira - Carvalhos;Feiteira ; Carvalhos;288;630;292;10;Feira;Manuel Afecto;Pedro Ferreira
BCR;A1;Carvalhos - Jaca (A1/A29);Carvalhos ; Jaca (A1/A29);292;10;294;770;Feira;Manuel Afecto;Pedro Ferreira
BCR;A1;Jaca (A1/A29) - Sto Ovídio;Jaca (A1/A29) ; Sto Ovídio;294;770;296;594;Feira;Manuel Afecto;Pedro Ferreira
BCR;A2;Almada - Fogueteiro;Almada ; Fogueteiro;6;90;15;70;Coina;Ricardo Santos;Diego Mendes
BCR;A2;Fogueteiro - Coina ;Fogueteiro ; Coina ;15;70;23;920;Coina;Ricardo Santos;Diego Mendes
BCR;A2;Coina  - Palmela;Coina  ; Palmela;23;920;35;410;Coina;Ricardo Santos;Diego Mendes
BCR;A2;Palmela - A2/A12;Palmela ; A2/A12;35;410;37;480;Coina;Ricardo Santos;Diego Mendes
BCR;A2;A2/A12 - Marateca;A2/A12 ; Marateca;37;480;54;770;Coina;Ricardo Santos;Diego Mendes
